Match_No,Home_Team,Away_Team,Match_Venue,Year, Toss_Won,Toss_Decision, Result_Available,Won_by_India
1,Zimbabwe,India,Bulawayo,2005,Zimbabwe,Batting,Available,Yes
2,Zimbabwe,India,Harare,2005,India,Bowling,Available,Yes
3,India,Pakistan,Mohali,2005,India,Batting,drawn,No
4,India,Pakistan,Kolkata,2005,India,Batting,Available,Yes
5,India,Pakistan,Bengaluru,2005,Pakistan,Batting,Available,No
6,India,Sri_Lanka,Chennai,2005,India,Batting,drawn,No
7,India,Sri_Lanka,Delhi,2005,India,Batting,Available,Yes
8,India,Sri_Lanka,Ahmedabad,2005,India,Batting,Available,Yes
9,Pakistan,India,Lahore,2006,Pakistan ,Batting,drawn,No
10,Pakistan,India,Faisalabad,2006,Pakistan ,Batting,drawn,No
11,Pakistan,India,Karachi,2006,India,Bowling,Available,No
12,West_Indies,India,St_Johns,2006,India,Batting,drawn,No
13,West_Indies,India,Gros_Islet,2006,India,Batting,drawn,No
14,West_Indies,India,Basseterre,2006,West_Indies,Batting,drawn,No
15,West_Indies,India,Kingston,2006,India,Batting,Available,Yes
16,South_Africa,India,Johannesburg,2006,India,Batting,Available,Yes
17,South_Africa,India,Durban,2006,South_Africa,Batting,Available,No
18,India,England,Nagpur,2006,England,Batting,drawn,No
19,India,England,Mohali,2006,England,Batting,Available,Yes
20,India,England,Mumbai,2006,India,Bowling,Available,No
21,South_Africa,India,Cape_Town,2007,India,Batting,Available,No
22,Bangladesh,India,Chattogram,2007,India,Batting,drawn,No
23,Bangladesh,India,Dhaka,2007,Bangladesh,Bowling,Available,Yes
24,England,India,Lords,2007,England,Batting,drawn,No
25,England,India,Nottingham,2007,India,Bowling,Available,Yes
26,England,India,The_Oval,2007,India ,Batting,drawn,No
27,Australia,India,Melbourne,2007,Australia,Batting,Available,No
28,India,Pakistan,Delhi,2007,Pakistan ,Batting,Available,Yes
29,India,Pakistan,Kolkata,2007,India ,Batting,drawn,No
30,India,Pakistan,Bengaluru,2007,India,Batting,drawn,No
31,Australia,India,Sydney,2008,Australia,Batting,Available,No
32,Australia,India,Perth,2008,India,Batting,Available,Yes
33,Australia,India,Adelaide,2008,India,Batting,drawn,No
34,Sri_Lanka,India,Colombo_SSC,2008,Sri_Lanka,Batting,Available,No
35,Sri_Lanka,India,Galle,2008,India,Batting,Available,Yes
36,Sri_Lanka,India,Colombo_PSS,2008,India ,Batting,Available,No
37,India,South_Africa,Chennai,2008,South_Africa,Batting,drawn,No
38,India,South_Africa,Ahmedabad,2008,India,Batting,Available,No
39,India,South_Africa,Kanpur,2008,South_Africa,Batting,Available,Yes
40,India,Australia,Bengaluru,2008,Australia,Batting,drawn,No
41,India,Australia,Mohali,2008,India,Batting,Available,Yes
42,India,Australia,Delhi,2008,India,Batting,drawn,No
43,India,Australia,Nagpur,2008,India,Batting,Available,Yes
44,India,England,Chennai,2008,England,Batting,Available,Yes
45,India,England,Mohali,2008,India,Batting,drawn,No
46,New_Zealand,India,Hamilton,2009,India,Bowling,Available,Yes
47,New_Zealand,India,Napier,2009,New_Zealand,Batting,drawn,No
48,New_Zealand,India,Wellington,2009,New_Zealand,Bowling,drawn,No
49,India,Sri_Lanka,Ahmedabad,2009,India,Batting,drawn,No
50,India,Sri_Lanka,Kanpur,2009,India,Batting,Available,Yes
51,India,Sri_Lanka,Mumbai,2009,Sri_Lanka,Batting,Available,Yes
52,Bangladesh,India,Chattogram,2010,Bangladesh,Bowling,Available,Yes
53,Bangladesh,India,Dhaka,2010,Bangladesh,Batting,Available,Yes
54,Sri_Lanka,India,Galle,2010,Sri_Lanka,Batting,Available,No
55,Sri_Lanka,India,Colombo_SSC,2010,Sri_Lanka,Batting,drawn,No
56,Sri_Lanka,India,Colombo_PSS,2010,Sri_Lanka,Batting,Available,Yes
57,South_Africa,India,Centurion,2010,South_Africa,Bowling,Available,No
58,South_Africa,India,Durban,2010,South_Africa,Bowling,Available,Yes
59,India,South_Africa,Nagpur,2010,South_Africa,Batting,Available,No
60,India,South_Africa,Kolkata,2010,South_Africa,Batting,Available,Yes
61,India,Australia,Mohali,2010,Australia,Batting,Available,Yes
